 P1(4): d+c+b+a
 P5738(8): !a*!c*!d+!a*!b*!d+b*c*d+a*c*d+a*b*d+!a*!b*!c+a*b*c
 P5739(8): !a*b*!c*!d+!a*!b*c*!d+!a*!b*!c*d+b*c*d+a*c*d+a*b*d+a*b*c
 P5742(8): !a*!b*!d+b*c*d+a*c*d+a*b*d+!a*!b*!c+a*b*c
 P5743(8): !a*!b*c*!d+!a*!b*!c*d+b*c*d+a*c*d+a*b*d+a*b*c
 P5758(7): b*c*d+a*c*d+a*b*d+!a*!b*!c+a*b*c
 P5759(7): !a*!b*!c*d+b*c*d+a*c*d+a*b*d+a*b*c
 P5760(8): a*b*d+!a*!b*!c+a*!b*c+!a*b*c+!c*!d+!b*!d
 P5761(8): !a*!b*!c*d+a*!c*!d+!b*c*!d+!a*b*!d+b*c*d+a*c*d+a*b*d
 P5762(8): b*c*d+!a*!b*!c+a*b*!c+a*!b*c+!a*!d
 P5763(8): !a*!b*!c*d+b*!c*!d+!b*c*!d+a*c*d+a*b*d+!a*b*c
 P5766(8): !b*c*!d+a*c*d+!a*!b*!c+a*b*!c+!a*b*c
 P5767(8): !a*!b*!c*d+!b*c*!d+a*c*d+a*b*!c+!a*b*c
 P5768(8): b*c*d+a*c*d+a*b*d+!a*!b*!c+!b*!d+!a*!d
 P5769(8): !a*!b*!c*d+!b*c*!d+a*!b*!d+!a*b*!d+b*c*d+a*c*d+a*b*d
 P5770(8): b*c*d+a*b*d+!a*!b*!c+a*!b*c+!a*!d
 P5771(8): !a*!b*!c*d+!b*c*!d+!a*b*!d+b*c*d+a*c*d+a*b*d
 P5774(8): !b*c*!d+a*c*d+a*b*d+!a*!b*!c+!a*b*c
 P5775(8): !a*!b*!c*d+!b*c*!d+a*c*d+a*b*d+!a*b*c
 P5782(7): b*c*d+!a*!b*!c+a*b*!c+a*!b*c+!a*b*c
 P5783(7): !a*!b*!c*d+b*c*d+a*b*!c+a*!b*c+!a*b*c
 P5784(8): !b*!c*!d+!a*b*!d+b*c*d+a*b*d+!a*!b*!c+a*!b*c
 P5785(8): !a*!b*!c*d+a*!b*!d+!a*b*!d+b*c*d+a*c*d+a*b*d
 P5786(8): !a*!c*!d+a*b*d+!a*!b*!c+a*!b*c+!a*b*c
 P5787(8): !a*!b*!c*d+!a*b*!d+b*c*d+a*b*d+a*!b*c
 P5790(7): a*b*d+!a*!b*!c+a*!b*c+!a*b*c
 P5791(7): !a*!b*!c*d+a*b*d+a*!b*c+!a*b*c
 P5800(8): !b*!c*!d+b*c*d+a*c*d+a*b*d+!a*!b*!c+!a*!d
 P5801(8): a*!b*!c*!d+!a*!b*!c*d+!a*c*!d+!a*b*!d+b*c*d+a*c*d+a*b*d
 P5802(8): b*c*d+a*c*d+a*b*d+!a*!b*!c+!a*!d
 P5803(8): !a*!b*!c*d+!a*c*!d+!a*b*!d+b*c*d+a*c*d+a*b*d
 P5804(8): !b*!c*!d+!a*c*!d+b*c*d+a*c*d+a*b*d+!a*!b*!c
 P5805(8): a*!b*!c*!d+!a*!b*!c*d+!a*c*!d+b*c*d+a*c*d+a*b*d
 P5806(8): !a*!b*!d+a*c*d+a*b*d+!a*!b*!c+!a*b*c
 P5807(8): !a*!b*!c*d+!a*c*!d+b*c*d+a*c*d+a*b*d
 P5820(8): !b*!c*!d+a*c*d+a*b*d+!a*!b*!c+!a*b*c
 P5821(8): a*!b*!c*!d+!a*!b*!c*d+a*c*d+a*b*d+!a*b*c
 P5822(7): a*c*d+a*b*d+!a*!b*!c+!a*b*c
 P5823(7): !a*!b*!c*d+a*c*d+a*b*d+!a*b*c
 P5864(8): !b*!c*!d+!a*!c*!d+!a*!b*!d+b*c*d+a*c*d+a*b*d+!a*!b*!c
 P5865(8): a*!b*!c*!d+!a*b*!c*!d+!a*!b*c*!d+!a*!b*!c*d+b*c*d+a*c*d+a*b*d
 P5866(8): !a*!c*!d+!a*!b*!d+b*c*d+a*c*d+a*b*d+!a*!b*!c
 P5867(8): !a*b*!c*!d+!a*!b*c*!d+!a*!b*!c*d+b*c*d+a*c*d+a*b*d
 P5870(8): !a*!b*!d+b*c*d+a*c*d+a*b*d+!a*!b*!c
 P5871(8): !a*!b*c*!d+!a*!b*!c*d+b*c*d+a*c*d+a*b*d
 P5886(7): b*c*d+a*c*d+a*b*d+!a*!b*!c
 P5887(7): !a*!b*!c*d+b*c*d+a*c*d+a*b*d
 P6014(8): !a*!b*!c*!d+b*c*d+a*c*d+a*b*d+a*b*c
 P6015(4): b*c*d+a*c*d+a*b*d+a*b*c
 P6016(8): a*b*d+a*!b*c+!a*b*c+!c*!d+!b*!d
 P6017(8): a*!c*!d+!b*c*!d+!a*b*!d+b*c*d+a*c*d+a*b*d
 P6018(8): b*c*d+a*b*!c+a*!b*c+!a*!d
 P6019(8): b*!c*!d+!b*c*!d+a*c*d+a*b*d+!a*b*c
 P6022(8): !a*!b*!d+b*c*d+a*b*!c+a*!b*c+!a*b*c
 P6023(8): !b*c*!d+a*c*d+a*b*!c+!a*b*c
 P6024(7): b*c*d+a*c*d+a*b*d+!b*!d+!a*!d
 P6025(7): !b*c*!d+a*!b*!d+!a*b*!d+b*c*d+a*c*d+a*b*d
 P6026(7): b*c*d+a*b*d+a*!b*c+!a*!d
 P6027(7): !b*c*!d+!a*b*!d+b*c*d+a*c*d+a*b*d
 P6030(7): !a*!b*!d+a*b*d+a*!b*c+!a*b*c
 P6031(7): !b*c*!d+a*c*d+a*b*d+!a*b*c
 P6038(8): !a*!b*!c*!d+b*c*d+a*b*!c+a*!b*c+!a*b*c
 P6039(7): b*c*d+a*b*!c+a*!b*c+!a*b*c
 P6040(8): !b*!c*!d+!a*b*!d+b*c*d+a*b*d+a*!b*c
 P6041(7): a*!b*!d+!a*b*!d+b*c*d+a*c*d+a*b*d
 P6042(8): !a*!c*!d+a*b*d+a*!b*c+!a*b*c
 P6043(7): !a*b*!d+b*c*d+a*b*d+a*!b*c
 P6046(8): !a*!b*!c*!d+a*b*d+a*!b*c+!a*b*c
 P6047(6): a*b*d+a*!b*c+!a*b*c
 P6056(8): !b*!c*!d+b*c*d+a*c*d+a*b*d+!a*!d
 P6057(8): a*!b*!c*!d+!a*c*!d+!a*b*!d+b*c*d+a*c*d+a*b*d
 P6058(6): b*c*d+a*c*d+a*b*d+!a*!d
 P6059(6): !a*c*!d+!a*b*!d+b*c*d+a*c*d+a*b*d
 P6060(8): !b*!c*!d+!a*c*!d+b*c*d+a*c*d+a*b*d
 P6061(8): a*!b*!c*!d+!a*c*!d+b*c*d+a*c*d+a*b*d
 P6062(7): !a*!b*!d+a*c*d+a*b*d+!a*b*c
 P6063(6): !a*c*!d+b*c*d+a*c*d+a*b*d
 P6076(8): !b*!c*!d+a*c*d+a*b*d+!a*b*c
 P6077(8): a*!b*!c*!d+a*c*d+a*b*d+!a*b*c
 P6078(8): !a*!b*!c*!d+a*c*d+a*b*d+!a*b*c
 P6079(5): a*c*d+a*b*d+!a*b*c
 P6120(8): !b*!c*!d+!a*!c*!d+!a*!b*!d+b*c*d+a*c*d+a*b*d
 P6121(8): a*!b*!c*!d+!a*b*!c*!d+!a*!b*c*!d+b*c*d+a*c*d+a*b*d
 P6122(8): !a*!c*!d+!a*!b*!d+b*c*d+a*c*d+a*b*d
 P6123(8): !a*b*!c*!d+!a*!b*c*!d+b*c*d+a*c*d+a*b*d
 P6126(7): !a*!b*!d+b*c*d+a*c*d+a*b*d
 P6127(7): !a*!b*c*!d+b*c*d+a*c*d+a*b*d
 P6142(8): !a*!b*!c*!d+b*c*d+a*c*d+a*b*d
 P6143(4): b*c*d+a*c*d+a*b*d
 P6272(8): a*c*d+!c*!d+!b*!d+!b*!c+!a*b
 P6273(8): b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+a*!b+!a*b
 P6274(8): b*!c*!d+!b*!c*d+b*c*d+a*!b*c+!a*!d+!a*!c
 P6275(8): b*!c*!d+!b*c*!d+!b*!c*d+a*c*d+!a*b
 P6278(8): a*b*!c*!d+!a*!b*!d+!b*!c*d+!a*!c*d+b*c*d+a*!b*c+!a*b*c
 P6279(8): a*b*!c*!d+!b*c*!d+!b*!c*d+!a*!c*d+a*c*d+!a*b*c
 P6280(8): a*c*d+!b*!d+!b*!c+!a*b
 P6281(8): !b*c*!d+!b*!c*d+b*c*d+a*!b+!a*b
 P6282(8): !b*!c*d+b*c*d+a*!b*c+!a*!d+!a*!c
 P6283(8): !b*c*!d+!b*!c*d+a*c*d+!a*b
 P6286(8): !a*!b*!d+!b*!c*d+!a*!c*d+b*c*d+a*!b*c+!a*b*c
 P6287(8): !b*c*!d+!b*!c*d+!a*!c*d+a*c*d+!a*b*c
 P6288(8): b*c*d+!c*!d+!b*!c+a*!b+!a*b
 P6289(8): b*!c*!d+!b*!c*d+b*c*d+a*!b+!a*b
 P6290(8): b*!c*!d+!b*!c*d+b*c*d+a*!b*c+!a*!c+!a*b
 P6291(8): b*!c*!d+!b*!c*d+b*c*d+a*!b*c+!a*b
 P6294(8): a*b*!c*!d+!b*!c*d+!a*!c*d+b*c*d+!a*!b*!c+a*!b*c+!a*b*c
 P6295(8): a*b*!c*!d+!b*!c*d+!a*!c*d+b*c*d+a*!b*c+!a*b*c
 P6296(7): b*c*d+!b*!c+a*!b+!a*b
 P6297(7): !b*!c*d+b*c*d+a*!b+!a*b
 P6298(7): !b*!c*d+b*c*d+a*!b*c+!a*!c+!a*b
 P6299(7): !b*!c*d+b*c*d+a*!b*c+!a*b
 P6302(7): !b*!c*d+!a*!c*d+b*c*d+!a*!b*!c+a*!b*c+!a*b*c
 P6303(7): !b*!c*d+!a*!c*d+b*c*d+a*!b*c+!a*b*c
 P6304(8): a*c*d+!c*!d+!a*!d+!b*!c+!a*b
 P6305(8): a*!c*!d+!a*c*!d+!b*!c*d+b*c*d+a*!b*d+!a*b
 P6306(8): b*!c*!d+b*c*d+a*!b*d+!a*!d+!a*!c
 P6307(8): b*!c*!d+!a*c*!d+!a*!c*d+b*c*d+a*!b*d
 P6308(8): a*!c*!d+!a*c*!d+a*c*d+!a*b*d+!b*!c
 P6309(8): a*!c*!d+!a*c*!d+!b*!c*d+a*c*d+!a*b*d
 P6310(8): a*b*!c*!d+!a*!b*!d+!a*!c*d+b*c*d+a*!b*d+!a*b*c
 P6311(8): a*b*!c*!d+!a*c*!d+!b*!c*d+a*c*d+!a*b*d
 P6312(8): a*c*d+!a*!d+!b*!c+!a*b
 P6313(8): !a*c*!d+!b*!c*d+a*c*d+a*!b*!c+!a*b
 P6314(8): b*c*d+a*!b*d+!a*!d+!a*!c
 P6315(8): !a*c*!d+!b*!c*d+b*c*d+a*!b*d+!a*b
 P6316(8): !a*c*!d+a*c*d+!a*b*d+!b*!c
 P6317(8): !a*c*!d+!a*!c*d+b*c*d+a*c*d+a*!b*!c
 P6318(8): !a*!b*!d+!a*!c*d+b*c*d+a*!b*d+!a*b*c
 P6319(8): !a*c*!d+!b*!c*d+a*c*d+!a*b*d
 P6320(8): a*c*d+!c*!d+!b*!c+!a*b
 P6321(8): a*!c*!d+!b*!c*d+b*c*d+a*!b*d+!a*b
 P6322(8): b*!c*!d+b*c*d+a*!b*d+!a*!c+!a*b
 P6323(8): b*!c*!d+!b*!c*d+b*c*d+a*!b*d+!a*b
 P6324(8): a*!c*!d+!a*!c*d+a*c*d+!a*b*c+!b*!c
 P6325(8): a*!c*!d+!b*!c*d+!a*!c*d+a*c*d+!a*b*c
 P6326(8): a*b*!c*!d+!a*!c*d+b*c*d+a*!b*d+!a*!b*!c+!a*b*c
 P6327(8): a*b*!c*!d+!b*!c*d+!a*!c*d+a*c*d+!a*b*c
 P6328(7): a*c*d+!b*!c+!a*b
 P6329(7): !b*!c*d+a*c*d+a*!b*!c+!a*b
 P6330(7): b*c*d+a*!b*d+!a*!c+!a*b
 P6331(7): !b*!c*d+b*c*d+a*!b*d+!a*b
 P6332(7): !a*!c*d+a*c*d+!a*b*c+!b*!c
 P6333(7): !a*!c*d+a*c*d+a*!b*!c+!a*b*c
 P6334(7): !a*!c*d+b*c*d+a*!b*d+!a*!b*!c+!a*b*c
 P6335(7): !b*!c*d+!a*!c*d+a*c*d+!a*b*c
 P6368(8): !a*!b*!d+a*c*d+!a*b*d+!c*!d+!b*!c
 P6369(8): !a*!b*c*!d+a*!c*!d+!b*!c*d+b*c*d+a*c*d+!a*b*!c
 P6370(8): b*!c*!d+!a*!b*!d+!b*!c*d+a*c*d+!a*b*d
 P6371(8): !a*!b*c*!d+b*!c*!d+!a*!c*d+b*c*d+a*!b*d
 P6374(8): a*b*!c*!d+!a*!b*!d+!b*!c*d+a*c*d+!a*b*d
 P6375(8): a*b*!c*!d+!a*!b*c*!d+!b*!c*d+a*c*d+!a*b*d
 P6376(8): !a*!b*!d+b*c*d+a*c*d+!b*!c+!a*!c
 P6377(8): !a*!b*c*!d+!b*!c*d+b*c*d+a*c*d+a*!b*!c+!a*b*!c
 P6378(8): !a*!b*!d+!b*!c*d+b*c*d+a*c*d+!a*!c
 P6379(8): !a*!b*c*!d+!b*!c*d+b*c*d+a*!b*d+!a*b*!c
 P6382(8): !a*!b*!d+!b*!c*d+a*c*d+!a*b*d
 P6383(8): !a*!b*c*!d+!b*!c*d+a*c*d+!a*b*d
 P6384(8): a*c*d+!a*b*d+!c*!d+!b*!c
 P6385(8): a*!c*!d+!b*!c*d+b*c*d+a*c*d+!a*b*!c
 P6386(8): b*!c*!d+!b*!c*d+b*c*d+a*c*d+!a*!c
 P6387(8): b*!c*!d+!a*!c*d+b*c*d+a*!b*d
 P6390(8): a*b*!c*!d+!b*!c*d+a*c*d+!a*b*d+!a*!b*!c
 P6391(8): a*b*!c*!d+!b*!c*d+a*c*d+!a*b*d
 P6392(7): b*c*d+a*c*d+!b*!c+!a*!c
 P6393(7): !b*!c*d+b*c*d+a*c*d+a*!b*!c+!a*b*!c
 P6394(7): !b*!c*d+b*c*d+a*c*d+!a*!c
 P6395(7): !b*!c*d+b*c*d+a*!b*d+!a*b*!c
 P6398(7): !b*!c*d+a*c*d+!a*b*d+!a*!b*!c
 P6399(7): !b*!c*d+a*c*d+!a*b*d
 P6544(8): b*c*d+!c*!d+a*!b+!a*b
 P6545(8): b*!c*!d+b*c*d+a*!b+!a*b
 P6546(8): b*!c*!d+!a*!c*!d+b*c*d+a*!b*d+a*!b*c+!a*b
 P6547(8): b*!c*!d+b*c*d+a*!b*d+a*!b*c+!a*b
 P6550(8): !a*!b*!c*!d+a*b*!c*!d+b*c*d+a*!b*d+!a*b*d+a*!b*c+!a*b*c
 P6551(8): a*b*!c*!d+b*c*d+a*!b*d+!a*b*d+a*!b*c+!a*b*c
 P6552(8): !b*!c*!d+b*c*d+a*!b+!a*b
 P6553(6): b*c*d+a*!b+!a*b
 P6554(8): !a*!c*!d+b*c*d+a*!b*d+a*!b*c+!a*b
 P6555(6): b*c*d+a*!b*d+a*!b*c+!a*b
 P6558(8): !a*!b*!c*!d+b*c*d+a*!b*d+!a*b*d+a*!b*c+!a*b*c
 P6559(6): b*c*d+a*!b*d+!a*b*d+a*!b*c+!a*b*c
 P6560(8): b*c*d+a*!b*d+!c*!d+!a*!d+!a*b
 P6561(8): b*!c*!d+!a*c*!d+a*c*d+a*!b*!c+!a*b
 P6562(8): b*!c*!d+b*c*d+a*!b*d+!a*!d+!a*b
 P6563(8): b*!c*!d+!a*c*!d+b*c*d+a*!b*d+!a*b
 P6564(8): !b*!c*!d+a*!c*!d+!a*c*!d+b*c*d+a*!b*d+!a*b*d
 P6565(8): a*!c*!d+!a*c*!d+b*c*d+a*!b*d+!a*b*d
 P6566(8): a*b*!c*!d+!a*!b*!d+b*c*d+a*!b*d+!a*b*d+!a*b*c
 P6567(8): a*b*!c*!d+!a*c*!d+b*c*d+a*!b*d+!a*b*d
 P6568(8): a*c*d+a*!b*!c+!a*!d+!a*b
 P6569(8): !a*c*!d+a*c*d+a*!b*!c+!a*b
 P6570(7): b*c*d+a*!b*d+!a*!d+!a*b
 P6571(7): !a*c*!d+b*c*d+a*!b*d+!a*b
 P6572(8): !b*!c*!d+!a*c*!d+b*c*d+a*!b*d+!a*b*d
 P6573(8): !a*c*!d+a*c*d+!a*b*d+a*!b*!c
 P6574(7): !a*!b*!d+b*c*d+a*!b*d+!a*b*d+!a*b*c
 P6575(7): !a*c*!d+b*c*d+a*!b*d+!a*b*d
 P6576(8): b*c*d+a*!b*d+!c*!d+!a*b
 P6577(8): b*!c*!d+a*c*d+a*!b*!c+!a*b
 P6578(8): b*!c*!d+!a*!c*!d+b*c*d+a*!b*d+!a*b
 P6579(8): b*!c*!d+b*c*d+a*!b*d+!a*b
 P6580(8): !b*!c*!d+a*!c*!d+b*c*d+a*!b*d+!a*b*d+!a*b*c
 P6581(8): a*!c*!d+b*c*d+a*!b*d+!a*b*d+!a*b*c
 P6582(8): !a*!b*!c*!d+a*b*!c*!d+b*c*d+a*!b*d+!a*b*d+!a*b*c
 P6583(8): a*b*!c*!d+b*c*d+a*!b*d+!a*b*d+!a*b*c
 P6584(8): !b*!c*!d+b*c*d+a*!b*d+!a*b
 P6585(7): a*c*d+a*!b*!c+!a*b
 P6586(8): !a*!c*!d+b*c*d+a*!b*d+!a*b
 P6587(6): b*c*d+a*!b*d+!a*b
 P6588(8): !b*!c*!d+b*c*d+a*!b*d+!a*b*d+!a*b*c
 P6589(7): a*c*d+!a*b*d+a*!b*!c+!a*b*c
 P6590(8): !a*!b*!c*!d+b*c*d+a*!b*d+!a*b*d+!a*b*c
 P6591(6): b*c*d+a*!b*d+!a*b*d+!a*b*c
 P6624(8): !a*!b*!d+a*c*d+a*!b*d+!a*b*d+!c*!d
 P6625(8): !a*!b*c*!d+a*!c*!d+b*c*d+a*!b*d+!a*b*!c
 P6626(8): b*!c*!d+!a*!b*!d+b*c*d+a*!b*d+!a*b*d
 P6627(8): !a*!b*c*!d+b*!c*!d+b*c*d+a*!b*d+!a*b*d
 P6630(8): a*b*!c*!d+!a*!b*!d+b*c*d+a*!b*d+!a*b*d
 P6631(8): a*b*!c*!d+!a*!b*c*!d+b*c*d+a*!b*d+!a*b*d
 P6632(8): !b*!c*!d+!a*!b*!d+b*c*d+a*!b*d+!a*b*!c
 P6633(8): !a*!b*c*!d+b*c*d+a*c*d+a*!b*!c+!a*b*!c
 P6634(8): !a*!c*!d+!a*!b*!d+b*c*d+a*!b*d+!a*b*d
 P6635(8): !a*!b*c*!d+b*c*d+a*!b*d+!a*b*!c
 P6638(7): !a*!b*!d+b*c*d+a*!b*d+!a*b*d
 P6639(7): !a*!b*c*!d+b*c*d+a*!b*d+!a*b*d
 P6640(8): a*c*d+a*!b*d+!a*b*d+!c*!d
 P6641(8): a*!c*!d+b*c*d+a*!b*d+!a*b*!c
 P6642(8): b*!c*!d+!a*!c*!d+b*c*d+a*!b*d+!a*b*d
 P6643(8): b*!c*!d+b*c*d+a*!b*d+!a*b*d
 P6646(8): !a*!b*!c*!d+a*b*!c*!d+b*c*d+a*!b*d+!a*b*d
 P6647(8): a*b*!c*!d+b*c*d+a*!b*d+!a*b*d
 P6648(8): !b*!c*!d+b*c*d+a*!b*d+!a*b*!c
 P6649(7): b*c*d+a*c*d+a*!b*!c+!a*b*!c
 P6650(8): !a*!c*!d+b*c*d+a*!b*d+!a*b*d
 P6651(7): b*c*d+a*!b*d+!a*b*!c
 P6654(8): !a*!b*!c*!d+b*c*d+a*!b*d+!a*b*d
 P6655(6): b*c*d+a*!b*d+!a*b*d
 P6816(7): a*c*d+!c*!d+!a*!d+!a*!c+!a*b
 P6817(7): a*!c*!d+!a*c*!d+!a*!c*d+a*c*d+!a*b
 P6818(7): b*!c*!d+a*c*d+!a*!d+!a*!c+!a*b
 P6819(7): b*!c*!d+!a*c*!d+!a*!c*d+a*c*d+!a*b
 P6820(8): a*!c*!d+!a*!b*!d+!a*!c*d+a*c*d+!a*b*c
 P6821(7): a*!c*!d+!a*c*!d+!a*!c*d+b*c*d+a*c*d
 P6822(8): a*b*!c*!d+!a*!b*!d+!a*!c*d+a*c*d+!a*b*c
 P6823(7): a*b*!c*!d+!a*c*!d+!a*!c*d+b*c*d+a*c*d
 P6824(8): !b*!c*!d+a*c*d+!a*!d+!a*!c+!a*b
 P6825(8): a*!b*!c*!d+!a*c*!d+!a*!c*d+a*c*d+!a*b
 P6826(7): a*c*d+!a*!d+!a*!c+!a*b
 P6827(7): !a*c*!d+!a*!c*d+a*c*d+!a*b
 P6828(8): !b*!c*!d+!a*c*!d+!a*!c*d+b*c*d+a*c*d
 P6829(8): a*!b*!c*!d+!a*c*!d+!a*!c*d+b*c*d+a*c*d
 P6830(8): !a*!b*!d+!a*!c*d+a*c*d+!a*b*c
 P6831(7): !a*c*!d+!a*!c*d+b*c*d+a*c*d
 P6832(7): a*c*d+!c*!d+!a*!c+!a*b
 P6833(7): a*!c*!d+!a*!c*d+a*c*d+!a*b
 P6834(7): b*!c*!d+a*c*d+!a*!c+!a*b
 P6835(7): b*!c*!d+!a*!c*d+a*c*d+!a*b
 P6836(8): !b*!c*!d+a*!c*!d+!a*!c*d+a*c*d+!a*b*c
 P6837(7): a*!c*!d+!a*!c*d+a*c*d+!a*b*c
 P6838(8): a*b*!c*!d+!a*!c*d+a*c*d+!a*!b*!c+!a*b*c
 P6839(7): a*b*!c*!d+!a*!c*d+a*c*d+!a*b*c
 P6840(8): !b*!c*!d+a*c*d+!a*!c+!a*b
 P6841(8): a*!b*!c*!d+!a*!c*d+a*c*d+!a*b
 P6842(6): a*c*d+!a*!c+!a*b
 P6843(6): !a*!c*d+a*c*d+!a*b
 P6844(8): !b*!c*!d+!a*!c*d+a*c*d+!a*b*c
 P6845(8): a*!b*!c*!d+!a*!c*d+a*c*d+!a*b*c
 P6846(7): !a*!c*d+a*c*d+!a*!b*!c+!a*b*c
 P6847(6): !a*!c*d+a*c*d+!a*b*c
 P6848(8): a*c*d+!a*b*d+!c*!d+!b*!d+!a*!c
 P6849(8): a*!c*!d+!b*c*!d+!a*!c*d+b*c*d+a*c*d+!a*b*!c
 P6850(8): b*!c*!d+!b*c*!d+b*c*d+a*!b*c+!a*!c
 P6851(8): b*!c*!d+!b*c*!d+!a*!c*d+b*c*d+a*c*d
 P6854(8): a*b*!c*!d+!a*!b*!d+!a*!c*d+b*c*d+a*!b*c
 P6855(8): a*b*!c*!d+!b*c*!d+!a*!c*d+b*c*d+a*c*d
 P6856(8): b*c*d+a*c*d+!b*!d+!a*!c
 P6857(8): !b*c*!d+a*!b*!d+!a*!c*d+b*c*d+a*c*d+!a*b*!c
 P6858(8): !b*c*!d+b*c*d+a*!b*c+!a*!c
 P6859(8): !b*c*!d+!a*!c*d+b*c*d+a*c*d+!a*b*!c
 P6862(8): !a*!b*!d+!a*!c*d+b*c*d+a*!b*c
 P6863(8): !b*c*!d+!a*!c*d+b*c*d+a*c*d
 P6864(8): b*c*d+a*!b*c+!c*!d+!a*!c
 P6865(8): b*!c*!d+a*!b*!d+!a*!c*d+b*c*d+a*c*d
 P6866(8): b*!c*!d+b*c*d+a*!b*c+!a*!c
 P6867(8): b*!c*!d+!a*!c*d+b*c*d+a*!b*c
 P6868(8): !b*!c*!d+a*!c*!d+!a*!c*d+b*c*d+a*!b*c
 P6869(8): a*!c*!d+!a*!c*d+b*c*d+a*!b*c
 P6870(8): a*b*!c*!d+b*c*d+!a*b*d+!a*!b*!c+a*!b*c
 P6871(8): a*b*!c*!d+!a*!c*d+b*c*d+a*!b*c
 P6872(8): a*!b*!d+b*c*d+a*c*d+!a*!c
 P6873(8): a*!b*!d+!a*!c*d+b*c*d+a*c*d+!a*b*!c
 P6874(7): b*c*d+a*!b*c+!a*!c
 P6875(7): !a*!c*d+b*c*d+!a*b*!c+a*!b*c
 P6876(8): !b*!c*!d+!a*!c*d+b*c*d+a*!b*c
 P6877(8): a*!b*!d+!a*!c*d+b*c*d+a*c*d
 P6878(7): b*c*d+!a*b*d+!a*!b*!c+a*!b*c
 P6879(7): !a*!c*d+b*c*d+a*!b*c
 P6880(8): !a*!b*!d+a*c*d+!a*b*d+!c*!d+!a*!c
 P6881(8): !a*!b*c*!d+a*!c*!d+!a*!c*d+b*c*d+a*c*d+!a*b*!c
 P6882(8): b*!c*!d+!a*!b*!d+b*c*d+a*c*d+!a*!c
 P6883(8): !a*!b*c*!d+b*!c*!d+!a*!c*d+b*c*d+a*c*d
 P6884(8): a*!c*!d+!a*!b*!d+!a*!c*d+a*c*d+!a*b*d
 P6885(8): !a*!b*c*!d+a*!c*!d+!a*!c*d+b*c*d+a*c*d
 P6886(8): a*b*!c*!d+!a*!b*!d+!a*!c*d+b*c*d+a*c*d
 P6887(8): a*b*!c*!d+!a*!b*c*!d+!a*!c*d+b*c*d+a*c*d
 P6888(8): !b*!c*!d+!a*!b*!d+b*c*d+a*c*d+!a*!c
 P6889(8): a*!b*!c*!d+!a*!b*c*!d+!a*!c*d+b*c*d+a*c*d+!a*b*!c
 P6890(8): !a*!b*!d+b*c*d+a*c*d+!a*!c
 P6891(8): !a*!b*c*!d+!a*!c*d+b*c*d+a*c*d+!a*b*!c
 P6892(8): !b*!c*!d+!a*!b*!d+!a*!c*d+a*c*d+!a*b*d
 P6893(8): a*!b*!c*!d+!a*!b*c*!d+!a*!c*d+b*c*d+a*c*d
 P6894(8): !a*!b*!d+!a*!c*d+b*c*d+a*c*d
 P6895(8): !a*!b*c*!d+!a*!c*d+b*c*d+a*c*d
 P6896(7): a*c*d+!a*b*d+!c*!d+!a*!c
 P6897(7): a*!c*!d+!a*!c*d+b*c*d+a*c*d+!a*b*!c
 P6898(7): b*!c*!d+b*c*d+a*c*d+!a*!c
 P6899(7): b*!c*!d+!a*!c*d+b*c*d+a*c*d
 P6900(8): !b*!c*!d+a*!c*!d+!a*!c*d+a*c*d+!a*b*d
 P6901(7): a*!c*!d+!a*!c*d+b*c*d+a*c*d
 P6902(8): a*b*!c*!d+a*c*d+!a*b*d+!a*!b*!c
 P6903(7): a*b*!c*!d+!a*!c*d+b*c*d+a*c*d
 P6904(8): !b*!c*!d+b*c*d+a*c*d+!a*!c
 P6905(8): a*!b*!c*!d+!a*!c*d+b*c*d+a*c*d+!a*b*!c
 P6906(6): b*c*d+a*c*d+!a*!c
 P6907(6): !a*!c*d+b*c*d+a*c*d+!a*b*!c
 P6908(8): !b*!c*!d+!a*!c*d+a*c*d+!a*b*d
 P6909(8): a*!b*!c*!d+!a*!c*d+b*c*d+a*c*d
 P6910(7): a*c*d+!a*b*d+!a*!b*!c
 P6911(6): !a*!c*d+b*c*d+a*c*d
 P7088(7): a*c*d+!c*!d+!a*b
 P7089(7): a*!c*!d+a*c*d+!a*b
 P7090(7): b*!c*!d+!a*!c*!d+a*c*d+!a*b
 P7091(7): b*!c*!d+a*c*d+!a*b
 P7092(8): !b*!c*!d+a*!c*!d+a*c*d+!a*b*d+!a*b*c
 P7093(7): a*!c*!d+a*c*d+!a*b*d+!a*b*c
 P7094(8): !a*!b*!c*!d+a*b*!c*!d+a*c*d+!a*b*d+!a*b*c
 P7095(7): a*b*!c*!d+a*c*d+!a*b*d+!a*b*c
 P7096(8): !b*!c*!d+a*c*d+!a*b
 P7097(8): a*!b*!c*!d+a*c*d+!a*b
 P7098(7): !a*!c*!d+a*c*d+!a*b
 P7099(5): a*c*d+!a*b
 P7100(8): !b*!c*!d+a*c*d+!a*b*d+!a*b*c
 P7101(8): a*!b*!c*!d+a*c*d+!a*b*d+!a*b*c
 P7102(8): !a*!b*!c*!d+a*c*d+!a*b*d+!a*b*c
 P7103(5): a*c*d+!a*b*d+!a*b*c
 P7120(8): b*c*d+!a*b*d+a*!b*c+!c*!d
 P7121(8): b*!c*!d+a*!b*!d+b*c*d+a*c*d+!a*b*!c
